idx,band,song,i_mean,i_std,i_max,i_min,i_start,i_end
442,poppin_party,Five Letters,-0.11105,1.08598,1.74541,-1.89129,-0.63657,-0.87191
443,poppin_party,最強☆ソング,0.26461,0.99391,1.94713,-1.31705,0.17324,-0.23070
444,poppin_party,RiNG A BELL,0.32200,0.96224,2.04414,-0.99045,0.08979,-0.31864
445,poppin_party,Drive Your Heart,0.28360,0.79575,1.47550,-0.81914,0.12339,-0.20309
446,poppin_party,とっておきAnswer,0.16262,0.82839,1.55085,-0.87076,0.11375,0.29388
447,poppin_party,START!! True dreams,0.30407,0.96752,1.87335,-1.19321,0.46549,-0.89546
448,poppin_party,どきどきデエト,0.24191,0.88698,1.78041,-0.92796,0.23394,0.25744
449,poppin_party,チョコレイトの低音レシピ,0.16720,1.03991,1.98414,-1.23674,0.07346,0.89960
450,poppin_party,Chu Chueen!,0.49738,0.86470,1.96415,-0.51831,0.77787,0.84986
451,poppin_party,どきどきSING OUT!,-0.16464,0.79600,1.22569,-1.20741,-0.20172,-0.18712
452,poppin_party,Freedom,0.05864,0.92250,1.50214,-1.36823,0.19474,-0.86511
453,poppin_party,Game Changer,0.74079,0.94741,2.53072,-0.46476,0.90083,0.82141
454,poppin_party,花園電気ギター！！！,0.44611,0.94221,1.95717,-1.06329,0.17603,-0.01602
455,poppin_party,す、好きなんかじゃない！,-0.00515,0.74751,1.24908,-1.12796,-0.15490,-0.66427
456,poppin_party,遠い音楽 ～ハートビート～,0.07933,0.77997,1.33285,-1.01692,0.13180,-0.63225
457,poppin_party,ほな！,0.43923,0.98522,2.24191,-0.82326,0.42003,0.57257
458,poppin_party,世界中の青空をあつめて,0.59989,0.84932,2.01352,-0.45983,0.83012,0.37900
459,poppin_party,勇気Limit！,0.36517,0.93272,2.06173,-0.81762,0.35989,0.72467
460,poppin_party,開けたらDream!,0.24373,0.79176,1.56185,-0.78812,0.49686,0.68722
461,poppin_party,絆色のアンサンブル,0.32211,0.73990,1.56204,-0.66903,0.23006,0.09794
462,poppin_party,NO GIRL NO CRY (Poppin'Party Ver.),0.25881,0.84781,1.59081,-0.85615,0.07025,-0.29742
463,poppin_party,ちゅ、多様性。 (Cover),0.38105,0.84524,1.74228,-0.79182,0.30378,1.02690
464,poppin_party,フィクション (Cover),0.38656,0.94235,2.26633,-0.88146,0.29510,0.45259
465,poppin_party,幾億光年 (Cover),0.09826,0.88480,1.76320,-0.96080,0.34757,0.44373
466,poppin_party,心絵 (Cover),-0.21036,0.81974,1.07531,-1.31020,-0.29849,-0.87919
467,poppin_party,じょいふる (Cover),0.43014,0.89286,1.69723,-0.65371,0.45344,0.58502
468,poppin_party,MATSURI BAYASHI (Cover),0.34016,0.80608,1.61040,-0.75747,0.41137,0.57391
469,poppin_party,私は最強 (Cover),0.00919,0.74378,1.21803,-0.93938,-0.27955,0.27422
470,poppin_party,トウキョウ・シャンディ・ランデヴ (Cover),0.31170,1.00844,1.98708,-1.09752,0.13372,0.35015
471,poppin_party,夜行性ハイズ (Cover),-0.08577,1.03077,1.82058,-1.51057,-0.18726,0.48537
472,poppin_party,メランコリック (Cover),0.45368,0.84478,1.85115,-0.71961,0.79093,0.82329
473,poppin_party,怪獣の花唄 (Cover),0.22875,0.76324,1.38370,-0.96702,0.03834,0.52959
474,poppin_party,光るなら (Cover),0.02887,0.86474,1.37201,-1.26455,0.04391,-0.19997
475,poppin_party,ミュージック・アワー (Cover),0.22987,0.91935,1.76968,-1.07882,0.22940,-0.41073
476,poppin_party,only my railgun (Cover),0.57152,0.96513,2.20783,-0.77205,0.15242,0.48941
477,poppin_party,ロミオとシンデレラ (Cover),0.03901,0.86160,1.50159,-1.15830,-0.02155,0.60292
478,poppin_party,Daydream café (Cover),0.21970,1.00779,2.26290,-1.05328,0.38447,0.17567
479,poppin_party,君じゃなきゃダメみたい (Cover),0.68711,0.88795,2.23468,-0.63030,0.55565,0.70862
480,poppin_party,＊〜アスタリスク〜 (Cover),0.19660,0.93144,1.80969,-1.18877,0.06298,-0.17075
481,poppin_party,DAYS of DASH (Cover),-0.03328,0.74198,1.14383,-1.01262,0.08553,0.24551
482,poppin_party,檄！帝国華撃団 (Cover),0.49620,0.87330,2.04513,-0.62382,0.36920,1.23112
483,poppin_party,DAYS (Cover),0.03324,0.91234,1.39893,-1.21791,-0.74939,0.31040
484,poppin_party,ディスカバリー！ (Cover),0.26136,0.97148,1.90573,-1.35517,-0.02205,-0.32067
485,poppin_party,チェリボム (Cover),0.14785,0.81895,1.47927,-0.97430,-0.04679,0.16670
486,poppin_party,ヴァンパイア (Cover),0.17275,0.90606,1.74211,-1.04311,0.01849,0.50625
487,poppin_party,怪物 (Cover),-0.22805,0.95087,1.49292,-1.47944,-0.07657,-0.19304
488,poppin_party,大河よ共に泣いてくれ (Cover),0.30621,0.78910,1.57671,-0.80353,0.29526,0.60025
489,poppin_party,空色デイズ (Cover),0.37559,0.77566,1.60421,-0.74305,0.88288,0.13207
490,raise_a_suilen,Invincible Fighter,0.79770,0.85127,2.42483,-0.32864,0.88475,1.06086
491,raise_a_suilen,A DECLARATION OF ×××,1.17162,0.80331,2.54387,-0.01375,1.02130,1.39360
492,raise_a_suilen,SOUL SOLDIER,0.24743,0.85546,1.63556,-1.10362,-0.77522,0.64079
493,raise_a_suilen,UNSTOPPABLE,0.55414,0.75696,1.94355,-0.38827,0.94280,0.59745
494,raise_a_suilen,HELL! or HELL?,0.66647,0.79048,1.84876,-0.56661,0.73887,1.20368
495,raise_a_suilen,Beautiful Birthday,0.80143,0.84037,2.26603,-0.51860,0.33778,0.92184
496,raise_a_suilen,Takin’ my Heart,0.54458,0.99021,1.91308,-1.36454,-0.95467,-0.08474
497,raise_a_suilen,DRIVE US CRAZY,0.34835,0.85814,2.12665,-0.56916,0.25298,0.44336
498,raise_a_suilen,!NVADE SHOW!,0.55710,0.79996,2.05582,-0.34949,0.60962,1.02616
499,raise_a_suilen,REIGNING,0.23122,0.89007,1.54020,-1.19161,-0.08650,-0.11548
500,raise_a_suilen,EXPOSE ‘Burn out!!!’,0.82262,0.75875,2.13194,-0.09010,0.63100,0.99850
501,raise_a_suilen,R・I・O・T,0.67317,0.82198,1.92492,-0.43784,-0.00605,1.00084
502,raise_a_suilen,V.I.P MONSTER,0.41903,0.89125,1.63459,-0.55627,0.06109,0.41799
503,raise_a_suilen,mind of Prominence,0.58565,0.73913,1.81495,-0.31438,0.64217,0.81086
504,raise_a_suilen,Ray of hope,0.18670,1.08310,1.59752,-2.38402,-1.88728,0.75937
505,raise_a_suilen,EXIST,-0.09401,0.81822,1.06449,-1.46587,-0.79721,-0.58260
506,raise_a_suilen,Sacred world,0.62682,0.85467,1.96683,-0.69329,0.94575,0.41124
507,raise_a_suilen,-N-E-M-E-S-I-S-,0.28071,0.72847,1.44003,-0.81075,-0.33508,0.33106
508,raise_a_suilen,DANCING DARING,0.53826,0.73052,1.73955,-0.29983,0.86346,0.37896
509,raise_a_suilen,BATTLE CRY,0.37445,0.66135,1.39543,-0.42795,0.11239,0.58715
510,raise_a_suilen,Domination to world,0.55851,0.73393,1.73341,-0.48535,0.23974,0.77472
511,raise_a_suilen,THE WAY OF LIFE,0.52639,0.74907,1.48235,-0.68013,-0.23444,0.74746
512,raise_a_suilen,灼熱 Bonfire!,0.33412,0.78425,1.71391,-0.59014,0.43585,0.38927
513,raise_a_suilen,Repaint,0.06776,0.78751,1.31815,-0.96179,-0.21514,0.78378
514,raise_a_suilen,Life on the Lotus,0.36708,0.98076,1.81522,-1.45030,-0.53267,-0.76242
515,raise_a_suilen,CORUSCATE -DNA-,0.46700,0.66683,1.48748,-0.39462,0.61322,0.58531
516,raise_a_suilen,That Is How I Roll!,0.43524,0.69146,1.43562,-0.57053,0.43481,0.16297
517,raise_a_suilen,しゅわりん☆どり～みん,0.07170,0.73685,1.22999,-1.18814,-0.46885,-0.21829
518,raise_a_suilen,パスパレボリューションず☆,0.19603,0.72848,1.26980,-1.05196,-0.19736,-0.01672
519,raise_a_suilen,えがおのオーケストラっ！,-0.21148,0.88254,1.25805,-1.48888,-0.54672,-0.23448
520,raise_a_suilen,Don't be afraid!,0.31285,0.93043,1.75776,-1.29874,-0.62014,0.18860
521,raise_a_suilen,ゆら・ゆらRing-Dong-Dance,0.28692,0.82708,1.44251,-1.13350,-0.52231,0.52299
522,raise_a_suilen,Hey-day狂騒曲(カプリチオ),0.32327,0.75138,1.47234,-0.89550,0.00585,-0.07323
523,raise_a_suilen,Scarlet Sky,0.44523,0.69757,1.51582,-0.62031,0.82271,0.04677
524,raise_a_suilen,ゴーカ！ごーかい！？ファントムシーフ！,0.24519,0.82039,1.55058,-1.09174,-0.39512,0.08678
525,raise_a_suilen,R・I・O・T,0.36493,0.89480,1.67669,-1.27121,-0.23643,-0.62730
526,raise_a_suilen,That Is How I Roll! (ライブ / アンコール),0.26382,0.81194,1.38174,-1.16391,-0.28164,-0.64615
527,raise_a_suilen,R･I･O･T (ライブ / アンコール),0.55114,0.92726,1.90648,-1.09621,-0.53706,0.67209
528,raise_a_suilen,Apocalypse,0.29564,0.87089,1.80296,-0.94956,0.58618,0.35119
529,raise_a_suilen,TWIN TALE,0.62151,0.65250,1.59922,-0.24912,0.57711,0.64379
530,raise_a_suilen,STRAY CERBERUS,0.64515,0.84746,2.03669,-0.65198,0.16484,0.34897
531,raise_a_suilen,BERSER-KEY,0.09105,0.77633,1.27947,-1.15217,-0.73940,0.22277
532,raise_a_suilen,POLARIS,0.28579,0.73777,1.56527,-0.70947,0.03637,-0.13567
533,raise_a_suilen,HOWLING AMBITION,0.88654,0.70887,2.18149,0.06254,1.13385,1.12697
534,raise_a_suilen,VIVID FIRST TIME,0.57353,0.65621,1.56461,-0.12937,0.59972,0.85322
535,raise_a_suilen,'FIGHT' ADDICT,0.86246,0.74930,2.02915,-0.20993,0.81310,0.85785
536,raise_a_suilen,Drown Out the Noise and Push Through the Trash,-0.05391,0.85155,1.28261,-1.51536,0.15722,0.02290
537,raise_a_suilen,FIVE as ONE,0.41755,0.76501,1.67933,-0.64771,-0.04526,0.40810
538,raise_a_suilen,EXPOSE 'Burn out!!!' (English),0.79929,0.73086,2.04186,-0.11439,0.64394,0.89406
539,raise_a_suilen,Takin' my Heart (English),0.65940,1.01515,2.13521,-1.34177,-0.97094,-0.21126
540,raise_a_suilen,WELCOME TO PANDEMONIUM,0.62267,0.60665,1.54921,-0.19863,0.60387,0.94447
541,raise_a_suilen,WHAT AN EXPLOSION,0.43410,0.76025,1.67966,-0.51411,0.27083,0.46503
542,raise_a_suilen,RUNAWAY STAR,0.37489,0.69226,1.45780,-0.38879,0.38569,0.52168
543,raise_a_suilen,Bad Kids All Bet,0.98090,0.73003,2.19354,0.03974,1.23394,1.07566
544,raise_a_suilen,Light a fire,-0.57046,1.08140,0.93476,-2.67324,-2.09548,-1.79349
545,raise_a_suilen,Embrace of light,-0.09984,0.89623,1.51122,-1.50420,-1.10737,-0.29814
546,raise_a_suilen,OUTSIDER RODEO,0.55370,0.67256,1.61320,-0.45628,0.36884,0.55888
547,raise_a_suilen,JUST THE WAY I AM,0.45844,0.75830,1.74226,-0.37435,0.72176,0.85603
548,raise_a_suilen,ラスハピーポー！,0.70551,0.70620,1.88857,-0.20797,0.54328,0.70250
549,raise_a_suilen,1/3の純情な感情 (Cover),0.73794,0.93961,2.35467,-0.45643,-0.05621,0.90399
550,raise_a_suilen,ヒトリノ夜 (Cover),0.59638,0.81569,1.90691,-0.58688,0.08567,1.03552
551,raise_a_suilen,激動 (Cover),0.38868,1.14101,2.12369,-1.75588,-1.77690,0.78767
552,raise_a_suilen,メギツネ (Cover),0.24080,0.64847,1.10488,-0.49055,0.10791,0.62179
553,raise_a_suilen,Bling-Bang-Bang-Born (Cover),0.51785,1.00334,2.36444,-0.82871,0.44462,1.05189
554,raise_a_suilen,第六感 (Cover),0.87593,0.97561,2.75059,-0.36936,1.37358,0.88845
555,raise_a_suilen,革命道中 (Cover),0.41162,0.97348,2.17601,-0.92848,0.76129,0.68001
556,raise_a_suilen,Get Wild (Cover),0.41685,0.88895,1.70164,-1.03988,0.13248,0.27729
557,raise_a_suilen,ボッカデラべリタ (Cover),0.24546,0.80728,1.63703,-0.83045,0.40496,0.06166
558,raise_a_suilen,第ゼロ感 (Cover),0.38403,0.85541,1.73152,-1.19004,0.29592,-0.90408
559,raise_a_suilen,劣等上等 (Cover),0.62588,0.87876,2.39706,-0.40919,0.66183,1.07420
560,raise_a_suilen,Just Awake (Cover),0.29579,0.70900,1.32055,-0.68593,0.37379,0.63921
561,raise_a_suilen,Keep the Heat and Fire Yourself Up (Cover),0.46319,0.77666,1.65665,-0.75496,0.44296,0.76479
562,raise_a_suilen,ボッカデラベリタ (Cover),0.16474,0.78885,1.51478,-0.87076,0.33241,0.00062
563,raise_a_suilen,VORACITY (Cover),0.20845,0.80713,1.65897,-0.69929,0.33388,0.59020
564,raise_a_suilen,神っぽいな (Cover),0.36100,0.84995,1.70714,-0.60683,-0.20695,0.79834
565,raise_a_suilen,狂乱 Hey Kids!! (Cover),0.25444,0.70544,1.50717,-0.55861,0.55549,0.51063
566,raise_a_suilen,SAVIOR OF SONG (Cover),0.37887,0.84477,1.76773,-0.94676,0.46046,0.56486
567,raise_a_suilen,恋しさとせつなさと心強さと (Cover),-0.06326,0.82934,1.42857,-1.13702,-0.03200,0.56936
568,raise_a_suilen,DEPARTURES (Cover),-0.31900,0.93542,1.22940,-1.74679,-0.28351,-0.72980
569,raise_a_suilen,CORE PRIDE (Cover),0.43034,0.68428,1.60813,-0.43440,0.37541,0.57379
570,roselia,Neo-Aspect,0.20525,0.68738,1.19842,-0.87677,-0.06116,-0.02179
571,roselia,BLACK SHOUT,0.01992,0.78496,1.06124,-1.30456,-0.71042,0.07958
572,roselia,Opera of the wasteland,0.02147,0.83586,1.29704,-1.37868,-1.25115,0.03915
573,roselia,陽だまりロードナイト,-0.10118,0.79627,1.19738,-1.22907,0.01608,-0.19594
574,roselia,ONENESS,0.05190,0.80660,1.25740,-1.01461,-0.17828,0.19774
575,roselia,Re:birth day,-0.00676,0.85505,1.21227,-1.39045,-0.11908,0.25904
576,roselia,Legendary,0.07859,0.64449,1.18821,-0.83462,0.22799,-0.00013
577,roselia,- HEROIC ADVENT -,0.06978,0.77924,1.22209,-0.94093,-0.26484,0.54963
578,roselia,Determination Symphony,0.27197,0.75849,1.56644,-0.73326,0.38849,0.56972
579,roselia,熱色スターマイン,0.31273,0.79315,1.56355,-0.75778,-0.12010,0.49410
580,roselia,軌跡,-0.62768,1.04079,0.89018,-2.51348,-2.13036,0.39904
581,roselia,LOUDER,-0.01200,0.69557,1.12871,-1.06453,0.12641,-0.50850
582,roselia,R,0.35884,0.90858,1.94300,-0.82434,0.80107,-0.27405
583,roselia,BRAVE JEWEL,-0.08365,0.79977,1.02768,-1.46523,-0.01238,0.03866
584,roselia,FIRE BIRD,-0.45702,0.67109,0.65092,-1.45248,-0.31017,-1.01857
585,roselia,Safe and Sound,0.05179,0.84861,1.43047,-1.09527,-0.41960,0.44450
586,roselia,Avant-garde HISTORY,0.12193,0.77071,1.26574,-1.02073,0.00756,0.11773
587,roselia,Break your desire,0.06511,0.80836,1.49632,-0.92092,-0.34486,0.73727
588,roselia,Neo-Aspect,0.14334,0.72163,1.12963,-0.83954,-0.02218,0.48262
589,roselia,約束,0.07225,0.68141,1.07990,-0.86082,-0.33363,0.32735
590,roselia,"""UNIONS"" Road",-0.20436,0.74438,0.95132,-1.30701,-0.68428,-0.31941
591,roselia,Song I am.,0.34820,0.89304,1.56472,-1.10128,-0.06734,1.46799
592,roselia,Sage der Rosen,-0.29020,0.72461,0.76624,-1.49008,-1.41882,0.10740
593,roselia,覚悟のLiberation,0.20160,0.67793,1.23470,-0.77821,0.27762,0.79351
594,roselia,Keep Heart,0.15776,0.73152,1.22730,-0.85938,-0.01908,-0.10478
595,roselia,Original Call,0.00423,0.83297,1.27202,-1.21109,-0.48507,-0.28256
596,roselia,Always recall.,0.23853,0.85436,1.59252,-0.93434,0.18437,0.10378
597,roselia,Floral Haven,-0.10994,0.87684,1.01753,-1.54572,-0.96325,-0.04652
598,roselia,Sprechchor,-0.25594,0.94918,0.96657,-1.87108,-1.52616,0.31975
599,roselia,閃光,-0.26108,0.79271,0.92741,-1.53575,-0.75147,-0.11482
600,roselia,THE HISTORIC...,0.13440,0.70649,1.33832,-0.95790,-0.59403,0.12072
601,roselia,ROZEN HORIZON,0.07697,0.63828,1.13094,-0.91290,-0.51009,-0.03626
602,roselia,廻廻奇譚,0.55059,0.91860,2.08879,-0.85967,1.10037,0.93255
603,roselia,鳥の詩,-0.09134,0.94677,1.25002,-2.20946,-1.32166,-1.52440
604,roselia,Synchrogazer,0.46382,0.72472,1.52024,-0.59625,1.01170,1.37369
605,roselia,名前のない怪物,0.31011,0.94140,1.68660,-1.15187,1.02412,0.81212
606,roselia,Dazzle the Destiny,0.02702,0.60845,0.90917,-0.76719,-0.14958,0.20300
607,roselia,Grateful Melting,-0.28310,0.87787,0.95046,-1.79559,-1.25058,0.31487
608,roselia,Second to None,0.30867,0.73806,1.54582,-0.67329,0.08478,0.47404
609,roselia,Steadfast Spirits,0.06639,0.72075,1.08340,-0.98449,-0.50700,0.23769
610,roselia,紫炎,0.21952,0.63665,1.12969,-0.51611,0.17358,0.77351
611,roselia,XV,0.64913,0.68703,1.75799,-0.28094,0.83000,0.66875
612,roselia,Blessing Chord,-0.09461,0.72678,1.03074,-1.09668,-0.72505,0.52028
613,roselia,Fear Nothing,0.39339,0.73484,1.45037,-0.82285,0.24043,0.40690
614,roselia,PASSIONATE ANTHEM,0.29077,0.84627,1.74141,-0.94601,-0.26608,0.52512
615,roselia,Requiem for Fate,0.19180,0.68956,1.19493,-0.92937,-0.50524,0.32658
616,roselia,Sanctuary,-0.16879,0.77734,0.98659,-1.30401,-1.08896,0.68073
617,roselia,Sunlit Musical,0.35945,0.88968,1.62314,-1.21428,-1.10816,0.40737
618,roselia,Talk to My Tone,0.03980,0.90084,1.25897,-1.65070,-1.06780,-0.34600
619,roselia,一逢のFull Glory,0.06060,0.92691,1.47157,-1.37785,0.25525,-0.64007
620,roselia,礎の花冠,0.21859,0.77654,1.46639,-0.88567,-0.13412,0.47337
621,roselia,FRONTIER FANTASIA,0.06965,0.90117,1.39306,-1.43103,-0.91929,-0.13563
622,roselia,Dear Gleam,-0.03500,0.75377,1.00405,-1.24630,-0.52497,-0.09112
623,roselia,Call the shots,-0.04102,0.71809,0.99100,-1.02010,-0.70705,-0.41735
624,roselia,THRONE OF ROSE,-0.10702,0.68439,0.93484,-0.95086,-0.13462,0.23448
625,roselia,VIOLET LINE,0.03536,0.71604,1.06971,-1.09881,-0.22374,0.20820
626,roselia,Ringing Bloom,0.22307,0.84601,1.41520,-1.49901,-1.25164,-0.48365
627,roselia,ZEAL of proud,0.23669,0.70455,1.30256,-0.77463,0.14610,0.53138
628,roselia,Singing “OURS”,-0.37581,0.93581,1.18755,-1.65528,-1.47745,-0.05074
629,roselia,競宴Red×Violet,0.08467,0.77715,1.36883,-0.94345,-0.19022,0.11780
630,roselia,overtuRe,0.14616,0.69428,1.22195,-0.86965,0.11954,0.21228
631,roselia,Proud of oneself,0.09418,0.74667,1.30479,-0.93313,-0.11867,0.01305
632,roselia,Sing Alive,0.02570,0.97242,1.46655,-1.64091,-0.84895,-0.05757
633,roselia,Swear ～Night & Day～,-0.57727,0.85016,0.81800,-2.02951,-0.97417,0.01303
634,roselia,Reweave (Cover),0.40411,0.81883,1.61402,-0.91869,-0.53687,0.80113
635,roselia,ヒバナ -Reloaded- (Cover),0.78017,0.75873,1.97441,-0.41435,0.77997,1.12495
636,roselia,ファタール (Cover),0.21722,0.93371,1.74544,-1.24229,-0.41096,0.15768
637,roselia,HONEY (Cover),0.05487,0.76440,1.14336,-1.27659,-0.34799,-0.45818
638,roselia,悪魔の子 (Cover),-0.06344,1.07765,1.75386,-1.95781,-0.02004,-1.00164
639,roselia,slash (Cover),0.18743,0.95971,1.78631,-1.19757,-0.41342,0.53628
640,roselia,右肩の蝶 (Cover),0.47841,0.71703,1.51970,-0.54087,0.78279,0.68546
641,roselia,乙女解剖 (Cover),0.59200,0.80844,1.86443,-0.71022,0.43545,0.77263
642,roselia,六兆年と一夜物語 (Cover),0.31652,0.91863,1.71944,-1.07067,-0.20947,1.37115
643,roselia,残酷な天使のテーゼ (Cover),0.21980,0.93219,1.46893,-1.65401,0.16028,-0.01075
644,roselia,海色 (Cover),0.43595,0.85674,1.70623,-0.79807,0.48583,0.67387
645,roselia,ETERNAL BLAZE (Cover),0.24755,0.79625,1.57302,-0.85238,0.11449,0.43346
646,roselia,魂のルフラン (Cover),-0.21708,0.92472,1.23392,-1.57359,-0.70711,0.66910
647,roselia,This game (Cover),0.05194,0.93391,1.41176,-1.83050,-1.31972,0.56115
648,roselia,スカイクラッドの観測者 (Cover),0.11444,0.93920,1.42344,-1.58668,-1.34606,-0.23741
649,roselia,シャルル (Cover),0.58525,0.80028,1.85884,-0.49484,0.55472,1.31364
650,roselia,新時代 (Cover),0.10993,0.84615,1.57626,-1.07762,0.21587,0.12926
651,roselia,革命デュアリズム (Cover),0.32630,0.78250,1.62434,-0.64795,0.21765,0.76517
652,roselia,Red fraction (Cover),0.47843,0.85184,1.81620,-0.85530,-0.23644,0.63456
653,roselia,深愛 (Cover),0.14382,0.79127,1.31789,-0.99544,-0.71702,0.54762
654,roselia,Paradisus‐Paradoxum (Cover),0.17427,0.80555,1.43235,-1.19803,-0.29497,0.39676
655,roselia,Realize (Cover),0.55530,0.89078,2.01368,-0.80403,0.20253,1.37964
656,roselia,Preserved Roses (Cover),0.82332,0.78540,2.01615,-0.39378,1.01034,0.83371
657,roselia,My Dearest (Cover),-0.19845,0.80118,1.06487,-1.35632,-0.31932,-0.07097
658,roselia,Shangri-La (Cover),0.30393,0.79182,1.48328,-0.90892,0.16196,0.45735
659,roselia,KING (Cover),0.60617,0.75515,1.72251,-0.57244,0.83666,0.66271
660,mygo,素寄曲,-0.14503,0.75149,0.94152,-1.21284,-0.33964,-0.26058
661,mygo,羅永線,0.33360,0.73744,1.43599,-0.58918,0.31144,0.37449
662,mygo,騒混出,0.32890,0.80683,1.42084,-0.84730,0.12288,-0.12639
