query_id,category,text,keep
Q0001,band_specified,afterglow 노래로 조용한 분위기로 하루를 시작하고 싶어.,TRUE
Q0002,band_specified,헬로해피 노래 중에 신나게 틀어줘.,TRUE
Q0003,band_specified,로젤리아 노래 중에 무겁고 진지한 분위기로 틀어줘.,TRUE
Q0004,band_specified,뮤타입 노래로 격렬한 분위기로 틀어주고 싶어.,TRUE
Q0005,band_specified,파스파레 노래로 차분한 분위기로 음악 틀어줘.,TRUE
Q0006,band_specified,마이고 노래로 조용히 감성에 잠기고 싶어.,TRUE
Q0007,band_specified,포핀파티 노래로 신나게 하루 시작하고 싶어.,TRUE
Q0008,band_specified,아베무지카 노래로 깔끔하고 조용한 분위기로 틀어줘.,TRUE
Q0009,band_specified,RAS 노래 중에 조용히 틀어줘.,TRUE
Q0010,band_specified,헬로해피 노래로 밝고 긍정적인 분위기로 틀어줘.,TRUE
Q0011,band_specified,로젤리아 노래 중에 진지하고 무거운 분위기로 틀어줘.,TRUE
Q0012,band_specified,뮤타입 노래로 신나게 틀어줘.,TRUE
Q0013,band_specified,afterglow 노래로 깔끔한 분위기로 틀어줘.,TRUE
Q0014,band_specified,포핀파티 노래로 격렬한 분위기로 틀어줘.,TRUE
Q0015,band_specified,마이고 노래로 조용하고 평온한 분위기로 틀어줘.,TRUE
Q0016,band_specified,아베무지카 노래로 밝고 에너지 넘치는 분위기로 틀어줘.,TRUE
Q0017,band_specified,RAS 노래로 진지하고 감성적인 분위기로 틀어줘.,TRUE
Q0018,band_specified,모르포니카 노래로 신나고 활기찬 분위기로 틀어줘.,TRUE
Q0019,band_specified,아베무지카 노래 중에 격렬한 분위기로 틀어줘.,TRUE
Q0020,band_specified,헬로해피 노래로 신나게 운동하는 거 좋아.,TRUE
Q0021,band_specified,RAS 노래로 격렬한 분위기로 틀어줘.,TRUE
Q0022,band_specified,로젤리아 노래로 진지한 분위기로 영화 감상하고 싶어.,TRUE
Q0023,band_specified,afterglow 노래로 신나게 주말을 보내고 싶어.,TRUE
Q0024,band_specified,아베무지카 노래로 무겁고 진지한 분위기로 생각할 때 틀어줘.,TRUE
Q0025,band_specified,헬로해피 노래로 조용히 수면 시간을 보내고 싶어.,TRUE
Q0026,band_specified,모르포니카 노래 중에 격렬한 분위기로 운동하는 거 좋아.,TRUE
Q0027,band_specified,뮤타입 노래로 감성에 잠기고 싶어.,TRUE
Q0028,band_specified,마이고 노래로 신나게 친구들과 놀기 좋어.,TRUE
Q0029,band_specified,RAS 노래로 신나게 여유로운 시간을 보내고 싶어.,TRUE
Q0030,band_specified,로젤리아 노래로 조용한 분위기로 생각할 때 틀어줘.,TRUE
Q0031,band_specified,Ave Mujica 노래 중에 신나는 піс사를 틀어줘.,TRUE
Q0032,band_specified,헬로해피 노래로 활발한 분위기로 음악 틀어줘.,TRUE
Q0033,band_specified,모르포니카 노래 중에 차분한 분위기로 틀어줘.,TRUE
Q0034,band_specified,마이고 노래 중에 아름다운 분위기로 틀어줘.,TRUE
Q0035,band_specified,로젤리아 노래 중에 감동적인 분위기로 틀어줘.,TRUE
Q0036,band_specified,afterglow 노래로 감성적인 분위기로 음악 틀어줘.,TRUE
Q0037,band_specified,Ave Mujica 노래로 강렬한 분위기로 틀어줘.,TRUE
Q0038,band_specified,파스파레 노래 중에 감성적으로 노래를 틀어줘.,TRUE
Q0039,band_specified,뮤타입 노래로 차분한 분위기로 틀어줘.,TRUE
Q0040,band_specified,아베무지카 노래 중에 무겁게 노래를 틀어줘.,TRUE
Q0041,band_specified,마이고 노래로 조용히 틀어줘.,TRUE
Q0042,band_specified,헬로해피 노래로 밝은 분위기로 노래를 틀어줘.,TRUE
Q0043,band_specified,모르포니카 노래 중에 신나게 노래를 틀어줘.,TRUE
Q0044,band_specified,파스파레 노래로 감동적인 분위기로 틀어줘.,TRUE
Q0045,band_specified,아베무지카 노래로 무거운 분위기로 틀어줘.,TRUE
Q0046,band_specified,포핀파티 노래로 에너지 넘치는 분위기로 틀어줘.,TRUE
Q0047,band_specified,로젤리아 노래 중에 슬픈 분위기로 틀어줘.,TRUE
Q0048,band_specified,마이고 노래로 진지한 분위기로 틀어줘.,TRUE
Q0049,band_specified,모르포니카 노래로 신나는 분위기로 틀어줘.,TRUE
Q0050,band_specified,'모르포니카 노래 중에 진지하고 추억스러운 분위기로 틀어줘.',TRUE
Q0051,band_specified,'아베무지카 노래로 차분한 분위기로 공부할 때 틀어줘.',TRUE
Q0052,band_specified,'RAS 노래 중에 무겁고 감성적인 분위기로 틀어줘.',TRUE
Q0053,band_specified,'파스파레 노래 중에 밝고 vui vẻ한 분위기로 틀어줘.',TRUE
Q0054,band_specified,'마이고 노래 중에 조용하고 편안한 분위기로 틀어줘.',TRUE
Q0055,band_specified,'로젤리아 노래로 신나고 에너지 넘치는 분위기로 운동할 때 틀어줘.',TRUE
Q0056,band_specified,'포핀파티 노래로 밝고 즐거운 분위기로 가족과 함께 식사할 때 틀어줘.',TRUE
Q0057,band_specified,'헬로해피 노래 중에 감성적인 분위기로 감상을 해본다.',TRUE
Q0058,band_specified,'모르포니카 노래로 무겁고 심오한 분위기로 틀어줘.',TRUE
Q0059,band_specified,'afterglow 노래 중에 밝고 활기찬 분위기로 틀어줘.',TRUE
Q0060,band_specified,'뮤타입 노래로 신나고 에너지 넘치는 분위기로 일하기 좋을 때 틀어줘.',TRUE
Q0061,band_specified,'포핀파티 노래로 조용하고 편안한 분위기로 취침 시간에 틀어줘.',TRUE
Q0062,band_specified,'로젤리아 노래 중에 무겁고 추억스러운 분위기로 틀어줘.',TRUE
Q0063,band_specified,'마이고 노래로 신나고 에너지 넘치는 분위기로 일하기 좋을 때 틀어줘.',TRUE
Q0064,band_specified,아베무지카 노래 중에 진하게 감성에 잠기고 싶어.,TRUE
Q0065,band_specified,헬로해피 노래로 격렬하게 운동할 때 틀어줘.,TRUE
Q0066,band_specified,모르포니카 노래로 신나게 파티할 때 틀어줘.,TRUE
Q0067,band_specified,뮤타입 노래 중에 무겁게 우울하지 않을 때 틀어줘.,TRUE
Q0068,band_specified,마이고 노래로 조용히 영화 감상하고 싶어.,TRUE
Q0069,band_specified,파스파레 노래 중에 밝게 운동할 때 틀어줘.,TRUE
Q0070,band_specified,RAS 노래로 조용하게 생각할 때 틀어줘.,TRUE
Q0071,band_specified,로젤리아 노래 중에 격렬하게 에너지에 맞춰줘.,TRUE
Q0072,band_specified,로젤리아 노래로 진하게 감성에 잠기고 싶어.,TRUE
Q0073,band_specified,afterglow 노래 중에 차분하게 공부할 때 틀어줘.,TRUE
Q0074,band_specified,뮤타입 노래 중에 신나게 노래하기 좋은 노래로 틀어줘.,TRUE
Q0075,band_specified,포핀파티 노래 중에 차분하게 주말을 시작할 때 틀어줘.,TRUE
Q0076,band_specified,아베무지카 노래로 격렬하게 틀어줘.,TRUE
Q0077,band_specified,파스파레 노래로 조용히 감성에 잠기고 싶어.,TRUE
Q0078,band_specified,뮤타입 노래로 조용하게 공부할 때 틀어줘.,TRUE
Q0079,band_specified,파스파레 노래로 신나게 틀어줘.,TRUE
Q0080,band_specified,마이고 노래로 감성적인 분위기로 틀어줘.,TRUE
Q0081,band_specified,afterglow 노래로 조금 조용히 듣고 싶어.,TRUE
Q0082,band_specified,아베무지카 노래 중에 신나게 틀어줘.,TRUE
Q0083,band_specified,헬로해피 노래로 즐거운 분위기로 하루 시작하고 싶어.,TRUE
Q0084,band_specified,모르포니카 노래 중에 격렬한 에너지를 느낄 수 있는 곡으로 틀어줘.,TRUE
Q0085,band_specified,뮤타입 노래로 차분하고 편안한 분위기로 듣고 싶어.,TRUE
Q0086,band_specified,마이고 노래 중에 무거운 감정을 느끼게 해준 곡으로 들어줘.,TRUE
Q0087,band_specified,파스파레 노래로 조용히 듣고 싶은 날에 틀어줘.,TRUE
Q0088,band_specified,포핀파티 노래로 재미있게 운동하면서 들어줄 곡으로 틀어줘.,TRUE
Q0089,band_specified,RAS 노래 중에 밝고 낯선 곳에서 듣기 좋은 곡으로 들어줘.,TRUE
Q0090,band_specified,로젤리아 노래로 아름다운 분위기로 듣고 싶은 곡으로 틀어줘.,TRUE
Q0091,band_specified,afterglow 노래 중에 감동적인 노래로 틀어줘.,TRUE
Q0092,band_specified,아베무지카 노래로 신나는 분위기로 밤을 지새우고 싶어.,TRUE
Q0093,band_specified,헬로해피 노래로 환상적인 경험을 할 수 있는 곡으로 들어줘.,TRUE
Q0094,band_specified,모르포니카 노래로 진지하고 멋진 분위기로 듣고 싶어.,TRUE
Q0095,band_specified,뮤타입 노래 중에 평온하고 안정적인 분위기로 틀어줘.,TRUE
Q0096,band_specified,마이고 노래로 감성적인 분위기로 듣고 싶은 곡으로 들어줘.,TRUE
Q0097,band_specified,파스파레 노래로 밝고 즐거운 분위기로 하루를 시작하고 싶어.,TRUE
Q0098,band_specified,포핀파티 노래로 에너지 넘치는 분위기로 운동하면서 들어줄 곡으로 틀어줘.,TRUE
Q0099,band_specified,RAS 노래로 신나는 분위기로 춤추고 싶어.,TRUE
Q0100,band_specified,'afterglow' 노래로 조용한 분위기로 시작해줘.,TRUE
Q0101,band_specified,'afterglow' 노래 중에 신나게 틀어줘.,TRUE
Q0102,band_specified,'아베무지카' 노래가 조용하고 감성적인 분위기야?,TRUE
Q0103,band_specified,'헬로해피' 노래로 격렬하게 운동하고 싶어.,TRUE
Q0104,band_specified,'헬로해피' 노래가 어때?,TRUE
Q0105,band_specified,'모르포니카' 노래로 차분한 분위기라면 좋겠다.,TRUE
Q0106,band_specified,'뮤타입' 노래가 왜 이렇게 신나고 재밌냐.,TRUE
Q0107,band_specified,'뮤타입' 노래로 한 번 더 틀어줘.,TRUE
Q0108,band_specified,'마이고' 노래 중에 조용히 듣고 싶어.,TRUE
Q0109,band_specified,'마이고' 노래로 신나게 하루를 시작해!,TRUE
Q0110,band_specified,'파스파레' 노래로 감성적인 분위기라면 좋겠다.,TRUE
Q0111,band_specified,'파스파레' 노래 중에 격렬하게 틀어줘.,TRUE
Q0112,band_specified,'포핀파티' 노래로 신나게 틀어줘!,TRUE
Q0113,band_specified,'포핀파티' 노래로 운동하는 동안 들을 노래야!,TRUE
Q0114,band_specified,'RAS' 노래로 감성적인 분위기야?,TRUE
Q0115,band_specified,'RAS' 노래 중에 조용한 분위기로 틀어줘.,TRUE
Q0116,band_specified,'로젤리아' 노래로 진지한 분위기로 틀어줘!,TRUE
Q0117,band_specified,'로젤리아' 노래가 어때?,TRUE
Q0118,band_specified,RAS 노래 중에 차분하고 평온한 분위기로 틀어줘.,TRUE
Q0119,band_specified,파스파레 노래로 조용하고 이국적인 분위기로 틀어줘.,TRUE
Q0120,band_specified,아베무지카 노래로 감성적으로 고요한 분위기로 틀어줘.,TRUE
Q0121,band_specified,포핀파티 노래로 활발하고 성장하는 분위기로 틀어줘.,TRUE
Q0122,band_specified,파스파레 노래 중에 고요하고 꿈같은 분위기로 틀어줘.,TRUE
Q0123,band_specified,로젤리아 노래로 감성적으로 아름다운 분위기로 틀어줘.,TRUE
Q0124,band_specified,포핀파티 노래로 신나고 활발하게 틀어줘.,TRUE
Q0125,intensity_brightness,"더 밝은 노래로 채워줘, 너무 조용하지 말고.",TRUE
Q0126,intensity_brightness,"완전 시끄러운 노래로 채워줘, 내 귀가 아파도 좋아.",TRUE
Q0127,intensity_brightness,"약한 노래로 채워줘, 내가 감정이 풍부해지기 좋다.",TRUE
Q0128,intensity_brightness,"미친듯이 강한 노래로 채워줘, 내 심장을 뛰게 해줘.",TRUE
Q0129,intensity_brightness,"어둡고 무거운 노래로 채워줘, 내 감정에 맞게.",TRUE
Q0130,intensity_brightness,"햇살이 가득한 노래로 채워줘, 내 기분을 밝게 해줘.",TRUE
Q0131,intensity_brightness,"너무 조용한 노래로 채워줘, 내 귀를 위로해줘.",TRUE
Q0132,intensity_brightness,"긍정적인 노래로 채워줘, 내 마음을 밝게 해줘.",TRUE
Q0133,intensity_brightness,"밝고 긍정적인 노래로 채워줘, 내 기분을 밝게 해줘.",TRUE
Q0134,intensity_brightness,"어둡고 긍정적인 노래로 채워줘, 내 감정에 맞게.",TRUE
Q0135,intensity_brightness,"너무 어두운 노래로 채워줘, 내 감정에 맞게.",TRUE
Q0136,intensity_brightness,조용하고 감정 없는 노래로 채워줘.,TRUE
Q0137,intensity_brightness,폭발하는 텐션과 함께 시끄러운 노래로 채워줘.,TRUE
Q0138,intensity_brightness,햇살과 함께 밝고สด러운 노래 듣고 싶어.,TRUE
Q0139,intensity_brightness,어둡고 무거운 노래 듣고 싶어.,TRUE
Q0140,intensity_brightness,음악이 너무 약해. 강한 노래로 채워줘.,TRUE
Q0141,intensity_brightness,내게 힘이 되는 노래로 채워줘.,TRUE
Q0142,intensity_brightness,밝고 명랑한 것처럼 노래 듣고 싶어.,TRUE
Q0143,intensity_brightness,"너무 슬펐는데, 밝은 노래로 채워줘.",TRUE
Q0144,intensity_brightness,완전 어둡고 침울한 노래로 채워줘.,TRUE
Q0145,intensity_brightness,미친듯이 흥겹고 감동적인 노래로 채워줘.,TRUE
Q0146,intensity_brightness,조용하고 평온한 노래로 채워줘.,TRUE
Q0147,intensity_brightness,너무 약해. 더 강한 노래로 채워줘.,TRUE
Q0148,intensity_brightness,"너무 어두우면, 밝은 노래로 채워줘.",TRUE
Q0149,intensity_brightness,내게 힘이 되고 강한 노래로 채워줘.,TRUE
Q0150,intensity_brightness,음악이 너무 밝아. 어두운 노래로 채워줘.,TRUE
Q0151,intensity_brightness,시끄럽고 흥겨운 노래로 채워줘.,TRUE
Q0152,intensity_brightness,조용하고 서정적인 노래로 채워줘.,TRUE
Q0153,intensity_brightness,밝고 긍정적인 노래로 채워줘.,TRUE
Q0154,intensity_brightness,"침울하고 어둡게 듣고 싶으면, 어둡게 채워줘.",TRUE
Q0155,intensity_brightness,너무 조용한 노래로 채워줘.,TRUE
Q0156,intensity_brightness,시끄러운 노래로 채워줘.,TRUE
Q0157,intensity_brightness,미친듯이 강한 노래로 채워줘.,TRUE
Q0158,intensity_brightness,햇살 가득한 것처럼 밝은 노래로 채워줘.,TRUE
Q0159,intensity_brightness,깊은 밤처럼 어둡고 무거운 노래로 채워줘.,TRUE
Q0160,intensity_brightness,너무 밝은 노래로 채워줘.,TRUE
Q0161,intensity_brightness,어둠을 깨고 밝은 노래로 채워줘.,TRUE
Q0162,intensity_brightness,기분 좋고 화끈한 노래로 채워줘.,TRUE
Q0163,intensity_brightness,슬퍼서 가슴이 아픈 노래로 채워줘.,TRUE
Q0164,intensity_brightness,너무 긍정적인 노래로 채워줘.,TRUE
Q0165,intensity_brightness,암울하고 우울한 노래로 채워줘.,TRUE
Q0166,intensity_brightness,힘들어하는 사람들을 위로하는 노래로 채워줘.,TRUE
Q0167,intensity_brightness,신나고 에너지 있는 노래로 채워줘.,TRUE
Q0168,intensity_brightness,평온하고 안정적인 노래로 채워줘.,TRUE
Q0169,intensity_brightness,무거운 가사를 담은 노래로 채워줘.,TRUE
Q0170,intensity_brightness,반짝이는 별처럼 빛나는 노래로 채워줘.,TRUE
Q0171,intensity_brightness,어두운 밤을 밝게 해주는 노래로 채워줘.,TRUE
Q0172,intensity_brightness,폭발적인 에너지로 채워줘.,TRUE
Q0173,intensity_brightness,시끄러워도 좋고 무겁게 느껴지는 노래로 채워줘.,TRUE
Q0174,intensity_brightness,밝은 노래로 채워 줘.,TRUE
Q0175,intensity_brightness,어둡고 슬픈 노래로 채워 줘.,TRUE
Q0176,intensity_brightness,약한 소리가 들리지 않게 시끄러운 노래로 채워 줘.,TRUE
Q0177,intensity_brightness,완전 어둡고 무거운 노래로 채워 줘.,TRUE
Q0178,intensity_brightness,밝은 기운이 있는 노래로 채워 줘.,TRUE
Q0179,intensity_brightness,칠흑 같은 어둡고 슬픈 노래로 채워 줘.,TRUE
Q0180,intensity_brightness,미치도록 시끄러운 노래로 채워 줘.,TRUE
Q0181,intensity_brightness,시끄럽고 무거운 노래로 채워 줘.,TRUE
Q0182,intensity_brightness,조용하고 슬픈 노래로 채워 줘.,TRUE
Q0183,intensity_brightness,조용하고 소소한 분위기의 노래로 채워줘.,TRUE
Q0184,intensity_brightness,내일같은 밝고 기대가되는 노래로 채워줘.,TRUE
Q0185,intensity_brightness,정말 시끄럽고 화끈한 노래로 채워줘.,TRUE
Q0186,intensity_brightness,어둡고 침울한 분위기의 노래 듣고 싶어.,TRUE
Q0187,intensity_brightness,가벼운 마음으로 웃고 싶은 노래로 채워줘.,TRUE
Q0188,intensity_brightness,무겁고 서글픈 노래 듣고 싶어.,TRUE
Q0189,intensity_brightness,밝은 햇살과 함께 가는 노래로 채워줘.,TRUE
Q0190,intensity_brightness,칠색조 같은 밝고 기뻐하는 노래로 채워줘.,TRUE
Q0191,intensity_brightness,조용하고 감성적인 노래로 채워줘.,TRUE
Q0192,intensity_brightness,강력하고 에너지 넘치는 노래로 채워줘.,TRUE
Q0193,intensity_brightness,어둡고 무거운 노래로 채워줘.,TRUE
Q0194,intensity_brightness,가볍고 즐거운 노래로 채워줘.,TRUE
Q0195,intensity_brightness,밝고 상쾌한 노래로 채워줘.,TRUE
Q0196,intensity_brightness,너무 조용하고 편한 노래로 채워줘.,TRUE
Q0197,intensity_brightness,"시끄러워요, 더 강력하고刺激적인 노래로 채워줘.",TRUE
Q0198,intensity_brightness,칠흑같이 어둡고 무거운 노래로 채워줘.,TRUE
Q0199,intensity_brightness,너무 약한 노래가 아니고 강한 노래로 채워줘.,TRUE
Q0200,intensity_brightness,깔끔하고 깊음 없는 노래로 채워줘.,TRUE
Q0201,intensity_brightness,정말 시끄럽고 에너지 넘치는 노래로 채워줘.,TRUE
Q0202,intensity_brightness,너무 어둡고 우울한 노래가 아니고 밝은 노래로 채워줘.,TRUE
Q0203,intensity_brightness,조용하고 편한 분위기에서 노래를 들을 수 있게 해줘.,TRUE
Q0204,intensity_brightness,더 밝고 명랑한 노래로 채워줘.,TRUE
Q0205,intensity_brightness,정말 무거운 감정의 노래가 아니고 가벼운 노래로 채워줘.,TRUE
Q0206,intensity_brightness,시끄럽고 에너지 넘치는 분위기로 노래를 채워줘.,TRUE
Q0207,intensity_brightness,칠흑같이 어둡고 무거운 분위기에서 노래를 채워줘.,TRUE
Q0208,intensity_brightness,밝고 긍정적인 분위기로 노래를 채워줘.,TRUE
Q0209,intensity_brightness,조용하고 편안한 분위기로 노래를 채워줘.,TRUE
Q0210,intensity_brightness,더 밝고 밝고 긍정적인 노래로 채워줘.,TRUE
Q0211,intensity_brightness,조용하고 가슴에 힘을 실어주는 노래로 채워줘.,TRUE
Q0212,intensity_brightness,밝은 기분을 북돋아주는 노래 듣고 싶어.,TRUE
Q0213,intensity_brightness,어둡고 슬픈 노래 듣고 싶어.,TRUE
Q0214,intensity_brightness,약한 목소리와 가벼운 리듬으로 채워줘.,TRUE
Q0215,intensity_brightness,강한 베이스 라인과 에너지 넘치는 노래로 채워줘.,TRUE
Q0216,intensity_brightness,햇살 가득한 것처럼 밝은 노래 듣고 싶어.,FALSE
Q0217,intensity_brightness,칠흑같이 어둡고 무거운 노래 듣고 싶어.,FALSE
Q0218,intensity_brightness,달콤한 멜로디와 가벼운 노래로 채워줘.,TRUE
Q0219,intensity_brightness,시원하고 쾌활한 노래로 채워줘.,TRUE
Q0220,intensity_brightness,가슴이 뛰는 노래로 채워줘.,TRUE
Q0221,intensity_brightness,무거운 분위기와 강한 리듬으로 채워줘.,TRUE
Q0222,intensity_brightness,밝고สด러운 노래로 채워줘.,TRUE
Q0223,intensity_brightness,슬픈 이별 노래로 채워줘.,TRUE
Q0224,intensity_brightness,파워풀한 베이스 라인과 강렬한 노래로 채워줘.,TRUE
Q0225,intensity_brightness,부드러운 멜로디와 조용한 노래로 채워줘.,TRUE
Q0226,intensity_brightness,밝은 기분을 북돋아주는 노래로 채워줘.,TRUE
Q0227,intensity_brightness,너무 밝고 에너지 넘치는 노래로 채워줘.,TRUE
Q0228,intensity_brightness,완전 조용하고 감동적인 노래로만 채워줘.,TRUE
Q0229,intensity_brightness,어둡고 추운 느낌의 노래만 듣고 싶어.,TRUE
Q0230,intensity_brightness,하늘과 바다에 비를 내려도 좋을만큼 무거운 노래로 채워줘.,TRUE
Q0231,intensity_brightness,미친듯이 시끄러운 노래로 채워줘.,TRUE
Q0232,intensity_brightness,햇살이 밝은 느낌의 노래로만 채워줘.,TRUE
Q0233,intensity_brightness,너무 약한 노래로 채워줘.,TRUE
Q0234,intensity_brightness,이세계로 빠져들 것 같은 노래로 채워줘.,TRUE
Q0235,intensity_brightness,내일이 밝혀질 것 같은 기대감이 들 정도로 밝은 노래로 채워줘.,TRUE
Q0236,intensity_brightness,하늘을 찌를 것 같은 노래로 채워줘.,TRUE
Q0237,intensity_brightness,너무 어둡고 무거운 노래로 채워줘.,TRUE
Q0238,intensity_brightness,가슴이 멍청해질 것 같은 노래로 채워줘.,TRUE
Q0239,intensity_brightness,시원한 산산에 비추는 햇살처럼 밝은 노래로 채워줘.,TRUE
Q0240,intensity_brightness,내게 필요한 노래를 추천해줘.,TRUE
Q0241,intensity_brightness,너무 밝고 밝은 노래로 채워줘.,TRUE
Q0242,intensity_brightness,내 주변을 어둡게 하는 노래로 채워줘.,TRUE
Q0243,intensity_brightness,너무 시끄러운 노래로 채워줘.,TRUE
Q0244,intensity_brightness,하늘에서 내게 내려오는 비처럼 감동적인 노래로 채워줘.,TRUE
Q0245,intensity_brightness,너무 무거운 노래로 채워줘.,TRUE
Q0246,intensity_brightness,조용하고 마음에 드는 노래로 채워줘.,TRUE
Q0247,intensity_brightness,시끄러운 음악으로 채워줘.,TRUE
Q0248,intensity_brightness,밝은 노래로 마음을 풀어줘.,TRUE
Q0249,intensity_brightness,어둡고 무거운 노래로 감정을 표현해줘.,TRUE
Q0250,intensity_brightness,힘이 나는 노래로 채워줘.,TRUE
Q0251,intensity_brightness,밝은 감정으로 가득 찬 노래로 채워줘.,TRUE
Q0252,intensity_brightness,힘 빠진 노래로 채워줘.,TRUE
Q0253,intensity_brightness,미치도록 빠른 tempo의 노래로 채워줘.,TRUE
Q0254,intensity_brightness,편안하고 감성적인 노래로 채워줘.,TRUE
Q0255,intensity_brightness,불타는 에너지로 가득 찬 노래로 채워줘.,TRUE
Q0256,intensity_brightness,강렬한 비트로 가득 찬 노래로 채워줘.,TRUE
Q0257,intensity_brightness,어둡고 무거운 감정으로 가득 찬 노래로 채워줘.,TRUE
Q0258,intensity_brightness,힘을 북돋우는 노래로 채워줘.,TRUE
Q0259,intensity_brightness,밝은 계절 같은 노래로 채워줘.,TRUE
Q0260,intensity_brightness,빠르게 가득 찬 노래로 채워줘.,TRUE
Q0261,intensity_brightness,무게가 느껴지는 노래로 채워줘.,TRUE
Q0262,intensity_brightness,약한 노래로 채워줘.,TRUE
Q0263,intensity_brightness,햇살가득한 노래로 채워줘.,TRUE
Q0264,intensity_brightness,행복한 노래로 채워줘.,TRUE
Q0265,intensity_brightness,무거운 분위기의 노래로 채워줘.,TRUE
Q0266,intensity_brightness,밝은 기분 좋은 노래로 채워줘.,TRUE
Q0267,intensity_brightness,우울한 노래로 채워줘.,TRUE
Q0268,intensity_brightness,신나는 노래로 채워줘.,TRUE
Q0269,intensity_brightness,열정적인 노래로 채워줘.,TRUE
Q0270,situational_functional,아침 운동할 때 듣는 곡,TRUE
Q0271,situational_functional,공부 방에 배경 음악으로 틀어놓을 노래,TRUE
Q0272,situational_functional,비 오는 날 집에서 보라카이 생각하면서 듣는 노래,TRUE
Q0273,situational_functional,친구 생일 파티에서 틀어줄 노래,TRUE
Q0274,situational_functional,침실에서 잠들기 전에 듣는 음악,TRUE
Q0275,situational_functional,집에서 공부하다가 식사 시간에 듣는 노래,TRUE
Q0276,situational_functional,드라이브할 때 듣는 노래,TRUE
Q0277,situational_functional,친구집에서 카페인 물어받고 공부할 때 듣는 음악,TRUE
Q0278,situational_functional,집에서 오락실 같은 분위기로 틀어놓을 노래,TRUE
Q0279,situational_functional,아침 일어나서 커피마시며 듣는 노래,TRUE
Q0280,situational_functional,친구 생일 파티에서 노래 한 곡 틀고 춤추는 노래,TRUE
Q0281,situational_functional,집에서 공부하다가 피곤할 때 듣는 음악,TRUE
Q0282,situational_functional,비행기에서 자고 싶지 않아 듣는 노래,TRUE
Q0283,situational_functional,집에서 운동할 때 듣는 노래,TRUE
Q0284,situational_functional,집에서 여유롭게 듣는 음악,TRUE
