idx,band,song,url,energy_full,excerpt_start_sec,excerpt_end_sec,wonder,transcendence,tenderness,nostalgia,peacefulness,power,joyful_activation,tension,sadness,rater_note
68,afterglow,Don't say “lazy” (Cover),https://youtu.be/PThqwHLyPpU,0.953292,200.06487887602233,229.87458003814697,4,1,3,3,2,3,4,3,1,
61,afterglow,Redo (Cover),https://youtu.be/Q5ld_AEJAWw,0.493874,202.8547870553131,233.41628088937378,2,1,3,3,1,4,4,3,1,
31,afterglow,青い栞,https://youtu.be/bzJW33heiqw,0.062021,272.1058100858307,301.9524251029968,1,1,5,4,5,3,3,1,1,
91,ave_mujica,in your blue eyes,https://youtu.be/kVMuEQ3uXWc,0.003828,174.24004988937378,203.87923691226197,4,5,1,4,1,4,1,5,5,
157,hello_happy_world,強風オールバック (Cover),https://youtu.be/EGxEKCHDAFE,0.997703,85.48266710681152,118.30525882833862,1,1,4,2,2,2,4,1,1,
179,millsage,起死開戦,https://youtu.be/bzPxdHmMW3s,0.163859,167.31241891989137,193.86031002288817,4,5,2,4,1,5,2,4,5,
189,morfonica,Sweet Cheers!,https://youtu.be/e8IQBZMVIGw,0.045176,173.80407312207032,203.51366603814697,3,2,4,4,4,4,3,2,2,
245,mugendai_mutype,テレパシー,https://youtu.be/mKiBvYqfBfk,0.065084,200.17253288746642,244.97177906103516,1,1,5,4,5,2,3,1,1,
339,pastel_palettes,everyday flower,https://youtu.be/zEHPkLXcX1I,0.121746,196.77453419264222,236.28643907247925,2,1,4,4,4,2,4,1,1,
560,raise_a_suilen,Just Awake (Cover),https://youtu.be/nyn9h6BraQ4,0.590352,184.03537621362304,207.99590493896486,4,2,1,1,1,5,4,4,1,
654,roselia,Paradisus‐Paradoxum (Cover),https://youtu.be/A12CMqrBFSw,0.43415,187.68359207247926,214.11387994659424,4,4,2,3,2,5,2,4,2,
580,roselia,軌跡,https://youtu.be/P2BT98BC1N8,0.042113,268.26739182070924,307.8106139713898,4,5,4,4,2,5,1,1,4,