query_id,prompt_text,expanded_text
Q143,운동할 때 들으면 힘 나는 노래.,"운동할 때 들으면 힘이 나는 노래는 강렬하고 에너지 넘치는 분위기를 가지고 있습니다. 이러한 노래는 열정과 자신감을 북돋아주며, 운동 중에 더욱 집중하고 열정을 불태울 수 있도록 도와줍니다. 또한, 빠른 템포와 강한 비트로 구성된 노래는 운동의 리듬을 맞추고, 더욱 열정적으로 운동할 수 있는 분위기를 조성합니다."
Q144,공부할 때 집중 잘 되는 노래.,"조용하고 평화로운 분위기로 마음을 진정시키며, 집중력을 높여주는 음악이 필요합니다. 공부에 집중할 수 있는 안정감과 명료함을 주는 감동이 있는 음악을 원합니다. 또한, 긴장감이나 불안감을 줄여주는 차분함과 안정감을 주는 음악이 적합할 것입니다."
Q145,드라이브할 때 듣기 좋은 노래.,"드라이브할 때 듣기 좋은 노래는 평화롭고 편안한 분위기를 자아내는 노래입니다. 이러한 노래는 차량을 운전하면서 느끼는 자유로움과 흥분을 더해주며, 도로 위를 달리며 마음을 비우고 편안함을 느끼게 해줍니다. 또한, 이러한 노래는 운전 중에 스트레스를 줄이고, 차량 안에서 편안하고 즐거운 시간을 보낼 수 있도록 도와줍니다."
Q146,새벽에 혼자 있을 때 듣고 싶은 노래.,"새벽의 고요함과 혼자의 시간에 맞춰서 감성적인 멜로디와 부드러운 보컬이 어우러져 마음을 편안하게 해주는 노래가 좋을 것 같다. 어둠 속에서 내면의 세계로 잠기며 생각에 잠기고, 마음을 정리할 수 있는 분위기의 음악이 적합할 것이다. 이러한 노래는 내면의 평온함과 안식을 느끼게 해줄 것이다."
Q147,출근길에 듣기 좋은 노래.,"출근길에 듣기 좋은 노래는 밝고 신나는 분위기로 에너지를 충전시켜 주며, 하루 일과에 대한 기대와 설렘을 느끼게 합니다. 또한, 편안하고 안정적인 감정으로 마음을 편안하게 해주어 출근길의 피로를 녹여줍니다. 이러한 노래는 아침의 상쾌함과 새로운 시작의 기운을 담고 있습니다."
Q148,잠들기 전에 듣기 좋은 노래.,"이 요청은 편안하고 평화로운 노래를 원하는 것으로 보인다. 잠들기 전에 듣기 좋은 노래는 일반적으로 부드럽고 차분한 분위기를 가지고 있으며, 듣는 사람에게 안정감과 평온함을 제공한다. 이러한 노래는 thường 느린 템포와 감성적인 멜로디를 특징으로 하며, 스트레스와 긴장을 완화하고 편안한 수면을 도와주는 효과가 있다."
Q149,카페에서 공부하면서 틀어놓기 좋은 노래.,"카페에서 공부하는 동안 틀어놓기 좋은 노래는 차분하고 평화로운 분위기를 자아내는 노래입니다. 이러한 노래는 공부에 집중할 수 있도록 도와주며, 마음을 진정시키고 안정감을 주는 감정을 불러일으킵니다. 또한, 너무 빠르거나 시끄러운 소리는 피하고, 부드럽고 조용한 멜로디가 특징입니다."
Q150,친구들이랑 파티할 때 틀 노래.,"친구들과 함께 즐거운 시간을 보내는 파티의 분위기를 담은 노래로, 신나는 리듬과 밝은 멜로디가 특징입니다. 이러한 노래는 파티의 에너지를 높이고, 모두가 함께 즐길 수 있는 분위기를 조성합니다. 또한, 친구들과 함께 웃고, 즐기며 추억을 만들 수 있는 감정을 담고 있습니다."
Q151,여행 갈 때 차 안에서 듣고 싶은 노래.,"여행 중 차 안에서 듣기 좋은 노래는 밝고 경쾌한 분위기를 자아내며, 여행의 설렘과 흥분을 더해주는 노래가 좋을 것입니다. 또한, 차 안에서 듣기 좋은 노래는 편안하고 안정적인 분위기를 제공하며, 여행의 피로를 풀어주고 마음을 편안하게 해주는 노래가 적합할 것입니다. 여행의 즐거움과 자유로움을 느끼게 해주는 노래가 차 안에서 듣기 좋은 노래입니다."
Q152,힘들 때 위로받고 싶은 노래.,"위로받고 싶은 순간에 듣기 좋은 노래는 따뜻하고 편안한 분위기를 가지고 있습니다. 마음을 편안하게 해주고, 안정감을 주는 감성을 담고 있으며, 부드럽고 감미로운 멜로디로 듣는 이의 마음을 위로합니다. 이러한 노래는 힘든 상황에서 위안을 주고, 마음을 진정시키는 효과를 줄 수 있습니다."
Q153,일할 때 집중하기 좋은 노래.,"일할 때 집중하기 좋은 노래는 차분하고 평온한 분위기를 가지고 있어 마음을 안정시키고 집중력을 높여준다. 또한, 부드럽고 따뜻한 감정으로 가득 차 있어 스트레스를 줄이고 편안함을 제공한다. 이러한 노래는 일하는 동안 마음을 진정시키고 생산성을 높여주는 효과가 있다."
Q154,지친 하루 끝에 힐링되는 노래.,지친 하루 끝에 힐링되는 노래는 따뜻하고 편안한 분위기를 가지고 있어 마음을 편하게 해준다. 부드럽고 감미로운 멜로디와 따뜻한 가사로 구성되어 있어 스트레스와 피로를 풀어준다. 이러한 노래는 마음을 진정시키고 평온함을 느끼게 해주어 힐링의 효과를 준다.
Q155,집안일 하면서 틀어놓기 좋은 노래.,"가사에 따뜻한 위로와 편안함이 담겨있으며, 부드럽고 편안한 멜로디로 구성된 노래가 적합할 것입니다. 이러한 노래는 집안일을 하면서 들으면 마음이 편안해지고, 스트레스가 줄어들며, 일에 집중할 수 있는 분위기를 조성해줄 것입니다. 또한, 밝고 경쾌한 노래보다는 차분하고 안정적인 분위기의 노래가 더 적합할 것입니다."
Q156,산책할 때 듣기 좋은 노래.,"산책할 때 듣기 좋은 노래는 평화롭고 차분한 분위기를 자아내며, 마음을 편안하게 해주는 감성을 가진 노래입니다. 밝고 경쾌한 에너지로 걸음걸이를 가볍게 만들어주며, 자연의 아름다움과 함께하는 산책의 즐거움을 더해주는 노래가 적합합니다. 이러한 노래는 산책 중에 마음을 비우고 자연과 함께하는 여유로움을 느낄 수 있게 해줍니다."
Q157,야근할 때 버티게 해주는 노래.,야근할 때 버티게 해주는 노래는 에너지 넘치고 밝은 분위기로 듣는 이의 기운을 북돋아주는 노래입니다. 업비트와 강렬한 리듬이 조합된 노래로 스트레스와 피로를 날려버릴 수 있습니다. 또한 감성적인 멜로디와 가사가 조합된 노래로 야근 중에 듣기 좋은 노래입니다.
Q158,시험 공부할 때 듣는 노래.,"이 플레이리스트는 집중력과 안정감을 주는 차분하고 평화로운 분위기의 음악으로 구성되어 있습니다. 공부에 집중할 수 있도록 도와주는 안정적인 리듬과 감성적인 멜로디가 특징입니다. 또한, 긴장감을 줄이고 마음을 편안하게 해주는 감성적인 음악이 포함되어 있습니다."
Q159,이별하고 나서 듣고 싶은 노래.,"이별의 아픔과 슬픔을 표현하는 감성적인 멜로디와 가사가 포함된 노래가 좋을 것 같다. 마음의 상처를 달래고, 이별의 고통을 함께 공감할 수 있는 감성적인 노래가 적합할 것이다. 슬픔과 아픔을 표현하는 감성적인声音과 감동적인 가사가 포함된 노래가 듣고 싶을 것이다."
Q160,기념일 분위기에 어울리는 노래.,"기념일 분위기에 어울리는 노래는 사랑과 감사의 마음을 담아 따뜻하고 아름다운 감정을 전달합니다. 이 노래는 행복하고 로맨틱한 분위기를 자아내며, 두 사람의 사랑을 더욱 깊고 특별하게 만듭니다. 또한, 이 노래는 편안하고 평화로운 에너지를 가지고 있어 기념일의 의미를 더욱 풍부하게 해줍니다."
Q161,캠핑 가서 듣기 좋은 노래.,"캠핑을 즐기면서 듣기 좋은 노래는 평화롭고 차분한 분위기를 자아내는 노래입니다. 자연의 소리와 어우러져 편안함과 안식을 느끼게 해주는 노래가 적합하며, 느린 템포와 부드러운 멜로디가 특징입니다. 이러한 노래는 캠핑 중에 마음을 편안하게 해주고, 자연과 하나되는 감정을 느끼게 해줍니다."
Q162,회식 자리에서 틀면 좋은 노래.,"회식 자리에서 틀면 좋은 노래는 밝고 신나는 분위기를 자아내며, 사람們의 기분을 업시켜 주는 노래입니다. 이러한 노래는 일반적으로 빠른 템포와 경쾌한 멜로디로 구성되어 있으며, 사람們의 에너지를 높여 주고 즐거운 분위기를 조성합니다. 또한, 이러한 노래는 대화와 웃음을 유도하며, 사람們 사이의 친밀감을 높여주는 효과가 있습니다."
Q163,반신욕하면서 듣고 싶은 노래.,"따뜻한 물에 몸을 담그고 긴장을 풀면서 듣기 좋은 노래는 평온하고 안정적인 분위기를 가진 노래입니다. 이러한 노래는 마음을 편안하게 해주고, 스트레스를 풀어주는 효과가 있어 반신욕을 하는 동안 더욱 편안함을 느끼게 해줍니다. 또한, 부드럽고 감미로운 멜로디가 마음을 편안하게 해주어 휴식과 재충전의 시간을 제공합니다."
Q164,듣고 나면 기분이 조금 나아지는 노래.,"듣고 나면 기분이 조금 나아지는 노래는 따뜻하고 편안한 분위기를 가지고 있으며, 듣는 이로 하여금 마음을 편하게 해주고 스트레스를 풀어주는 감성을 지니고 있다. 이러한 노래는 밝고 경쾌한 멜로디와 따뜻한 가사로 구성되어 있어 기분을 좋게 만들어 주며, 마음을 위로하고 힐링하는 효과를 준다. 또한, 이러한 노래는 평온하고 안정적인 에너지를 가지고 있어 듣는 이로 하여금 안정감과 평화를 느끼게 한다."
Q165,마음이 무겁고 가라앉는 밤에 어울리는 노래.,"마음이 무겁고 가라앉는 밤에 어울리는 노래는 어둠과 고요함이 감도는 분위기를 담고 있습니다. 이러한 노래는 슬픔과 상실, 그리고 내면의 갈등을 표현하며, 듣는 이로 하여금 깊은 반성을促します. 또한, 이러한 노래는 보통 느린 템포와 감성적인 멜로디로 구성되어, 듣는 이의 마음을 어둠과 고요함으로 안내합니다."
Q166,웃음이 절로 나는 노래.,"이 플레이리스트는 밝고 유쾌한 분위기로 가득 차 있어 듣는 사람에게 기분 좋은 웃음을 선사할 것입니다. 가사에는 유머러스한 요소나 재미있는 상황이 담겨져 있어 듣는 이로 하여금 자연스럽게 웃음을 짓게 만들며, 상쾌하고 경쾌한 멜로디는 기분을 좋게 만들어줍니다. 또한, 이 노래들은 일상생활에서 일어나는 재미있는 에피소드나 유머러스한 상황을 담아 듣는 사람에게 즐거움과 행복감을 전달합니다."
Q167,눈물이 날 것 같은 노래.,"아픔과 슬픔이 가득한 감동적인 멜로디와 가사가 조합된 노래가 적합할 것입니다. 이러한 노래는 듣는 이로 하여금 마음을 울리는 감동과 공감을 선사하며, 때로는 눈물을 자아내기도 합니다. 감성적인 피아노나 기타 연주와 함께 부드럽고 감미로운 보컬이 노래의 감동을 더할 것입니다."
Q168,기분 전환하고 싶을 때 듣는 노래.,"기분 전환하고 싶을 때 듣는 노래는 밝고 경쾌한 분위기로 가득 차 있어 기분을 업시켜 주며, 신나는 리듬과 경쾌한 멜로디로 에너지를 불어넣어 줍니다. 또한, 따뜻하고 편안한 감정으로 마음을 편안하게 해주어 스트레스를 풀고 기분을 좋게 만들어 줍니다. 이러한 노래들은 기분을 전환시키고 일상에 새로운 에너지를 불어넣어 주는 데 도움을 줍니다."
Q169,우울할 때 더 우울해지고 싶은 노래.,"이 요청은 슬픔과 우울함을 더욱 깊게 느끼고 싶은 노래를 찾고 있습니다. 이러한 노래는 일반적으로 느린 템포와 감성적인 멜로디로 구성되어 있으며, 가사는 슬픔, 상실, 그리고 절망과 같은 감정을 표현합니다. 이러한 노래는 듣는 사람으로 하여금 자신의 감정을 깊이 반성하고, 슬픔을 느끼는 것을 허용하는 분위기를 조성합니다."
Q170,행복한 기분이 드는 노래.,"밝고 상쾌한 느낌이 드는 노래로 기분을 좋게 만들어 주는 노래가 좋을 것 같습니다. 신나고 에너지 넘치는 분위기로 듣는 이의 마음을 들뜨게 하는 노래가 적합하다고 생각합니다. 또한, 따뜻하고 평화로운 감정으로 가득 찬 노래도 행복한 기분을 선사할 수 있을 것입니다."
Q171,쓸쓸한 기분이 드는 노래.,"쓸쓸한 기분이 드는 노래는 어둡고 우울한 분위기를 가지고 있으며, 듣는 이로 하여금 깊은 생각에 잠기게 만든다. 이러한 노래는 일반적으로 느린 템포와 감성적인 멜로디로 구성되어 있어 듣는 이의 마음을 어둡고 쓸쓸한 감정으로 물들게 한다. 이러한 노래는 때때로 외로움과 상실감을 표현하며, 듣는 이로 하여금 자신의 감정을 반성하게 만든다."
Q172,희망이 느껴지는 노래.,"희망이 느껴지는 노래는 밝고 따뜻한 분위기를 가지고 있으며, 듣는 사람에게 기대와 긍정적인 에너지를 전달한다. 이러한 노래는 일반적으로 업비트의 리듬과 경쾌한 멜로디로 구성되어 있으며, 가사에는 앞으로 나아가고자 하는 의지와 꿈을 향한 열망이 담겨 있다. 이러한 요소들이 조화롭게 결합하여 듣는 사람에게 활기찬 기분과 앞날에 대한 희망을 선사한다."
Q173,슬픔에 잠기게 되는 노래.,"슬픔에 잠기게 되는 노래는 어둡고 우울한 분위기를 가지고 있으며, 듣는 이로 하여금 깊은 상실감과 절망감을 느끼게 한다. 이러한 노래는 일반적으로 느린 템포와 음산한 멜로디를 특징으로 하며, 가사에는 사랑의 상실, 죽음, 또는 개인적인 고통과 같은 тем들이 종종 등장한다. 이러한 요소들이 조합하여 듣는 이로 하여금 깊은 감정적 공감과 반성을 유도한다."
Q174,밝은 에너지가 느껴지는 노래.,"밝고 신나는 에너지가 넘치는 노래로 기분을 업시켜주고, 활기찬 분위기를 연출하는 곡이면 좋을 것 같습니다. 이러한 노래는 청취자의 마음을 설레게 하고, 즐거운 기분을 선사할 수 있습니다. 또한, 에너지 넘치고 활기찬 리듬과 경쾌한 멜로디가 조화되는 노래가 적합할 것입니다."
Q175,어두운 감성의 노래.,"어둡고 깊은 감정의 노래를 원합니다. 슬픔, 상실, 또는 절망과 같은 어두운 정서를 담은 노래가 적합할 것입니다. 이러한 노래는 보통 느린 템포와 음울한 멜로디로 구성되어 있으며, 듣는 이로 하여금 깊은 생각과 반성을 유도합니다."
Q176,긍정적인 기운을 주는 노래.,"이 플레이리스트는 밝고 활기찬 분위기로 가득 차 있어 듣는 이로 하여금 기분을 좋게 만들어 줄 것이다. 또한, 따뜻하고 위로하는 감정으로 마음을 편안하게 해주며, 에너지 넘치는 리듬으로 신나고 즐거운 기분을 선사한다. 이러한 노래들은 일상 생활에서 긍정적인 에너지를 불어넣어 주며, 스트레스를 해소하고 행복감을 증폭시켜 준다."
Q177,센치해지는 노래.,"감미로운 멜로디와 감성적인 가사가 조합된 노래로, 마음을 어둡고 우울하게 만드는 노래입니다. 이러한 노래는 보통 느린 템포와 부드러운 사운드가 특징이며, 듣는 이로 하여금 깊은 생각에 잠기게 만듭니다. 이러한 노래는 감성적인 분위기를 자아내며, 듣는 이로 하여금 감동과 반성을 유도합니다."
Q178,발랄한 기분이 드는 노래.,"발랄한 기분이 드는 노래는 상큼하고 경쾌한 분위기를 자아내며, 듣는 이로 하여금 기분 좋은 생각을 하게 만든다. 밝고 화려한 멜로디와 경쾌한 리듬이 어우러져 에너지 넘치는 분위기를 연출한다. 이러한 노래는 듣는 이로 하여금 활기찬 기분과 즐거운 마음을 선사한다."
Q179,울적한 기분이 드는 노래.,"감미로운 멜로디와 서정적인 가사가 어우러져 마음을 어둡게 하는 노래가 좋을 것 같습니다. 슬픔과 외로움을 담은 음색과 감성적인 보컬이 듣는 이의 마음을 울적하게 만들며, 비슷한 감정을 공유하는 것 같은 느낌을 줄 수 있습니다. 이러한 노래는 듣는 이로 하여금 내면의 감정을 반추하게 만들며, 감성적인 분위기를 자아냅니다."
Q180,미소가 지어지는 노래.,"따뜻하고 밝은 감정으로 가득 찬 노래가 필요합니다. 미소가 지어지는 순간을 담은 노래라면 행복하고 기쁜 감정을 전달할 수 있어야 하며, 듣는 이로 하여금 편안하고 즐거운 기분을 느끼게 할 수 있어야 합니다. 또한, 따뜻한 분위기와 상쾌한 에너지를 가진 노래가 적합할 것입니다."
Q181,눈물 참기 힘든 노래.,아픔과 슬픔이 가득한 감동적인 멜로디와 가사가 마음을 울리는 노래들입니다. 애절한 목소리와 감성적인 연주가 어우러져 눈물이 나도록 감동시키는 노래들로 구성되어 있습니다. 이러한 노래들은 듣는 이로 하여금 깊은 감정을 공유하고 위로받을 수 있도록 도와줍니다.
Q182,기운이 나는 노래.,"이 요청은 밝고 신나는 노래를 원하는 것으로 보입니다. 이러한 노래는 일반적으로 에너지 넘치고 활기찬 분위기로 듣는 이의 기운을 북돋아주고, 기분을 좋게 만들어줍니다. 또한, 이러한 노래는 thường적으로 빠른 템포와 경쾌한 멜로디로 구성되어 있어 듣는 이로 하여금 흥을 돋우고, 즐거운 감정을 불러일으킵니다."
Q183,가슴이 먹먹해지는 노래.,"가슴이 먹먹해지는 노래는 감동과 애절함이 가득한 노래로, 듣는 이로 하여금 마음을 울리는 감정을 느끼게 합니다. 이 노래는 슬픔과 그리움, 사랑과 상실의 감정을 담고 있어, 듣는 이로 하여금 깊은 감동과 공감을 느끼게 합니다. 또한, 이 노래는 감성적인 멜로디와 가사로 구성되어 있어, 듣는 이로 하여금 마음을 편안하게 하고, 감정을 치유하게 합니다."
Q184,설레는 기분이 드는 노래.,설렘과 흥분이 공존하는 밝고 경쾌한 분위기가 느껴지는 노래가 좋을 것 같습니다. 가슴이 두근거리고 기분이 좋아지는 감정을 담은 노래가 적합할 것 같아요. 사랑의 설렘을 표현한 감성적인 멜로디와 가사가 포함된 노래가 될 것입니다.
