query_id,method,rank,idx,band,song,energy,url
R01,method1,1,433,poppin_party,花咲く未来に,0.6855,https://youtu.be/rTVN1M1DNx8
R01,method1,2,128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,0.7067,https://youtu.be/wPDP9eT2-Cs
R01,method1,3,560,raise_a_suilen,Just Awake (Cover),0.6644,https://youtu.be/nyn9h6BraQ4
R01,method2,1,332,pastel_palettes,SAKURAスキップ,0.7754,https://youtu.be/DxUyKQwPeWU
R01,method2,2,123,hello_happy_world,Happy! Happier! Happiest!,0.6933,https://youtu.be/xpECEzVaWH8
R01,method2,3,432,poppin_party,雨上がり、キミと,0.6245,https://youtu.be/6PWbcFhH1sc
R02,method1,1,638,roselia,悪魔の子 (Cover),0.1238,https://youtu.be/kHdgtPHuya8
R02,method1,2,592,roselia,Sage der Rosen,0.2131,https://youtu.be/z0jU3sNiA44
R02,method1,3,628,roselia,Singing “OURS”,0.2022,https://youtu.be/rGkei9v-jz4
R02,method2,1,638,roselia,悪魔の子 (Cover),0.1238,https://youtu.be/kHdgtPHuya8
R02,method2,2,571,roselia,BLACK SHOUT,0.2636,https://youtu.be/MmnU-s1TdsI
R02,method2,3,573,roselia,陽だまりロードナイト,0.346,https://youtu.be/KjgjeK-ppd0
R03,method1,1,560,raise_a_suilen,Just Awake (Cover),0.6644,https://youtu.be/nyn9h6BraQ4
R03,method1,2,522,raise_a_suilen,Hey-day狂騒曲(カプリチオ),0.6766,https://youtu.be/dQuVrNLZOFM
R03,method1,3,537,raise_a_suilen,FIVE as ONE,0.6174,https://youtu.be/rRo4HYj654A
R03,method2,1,522,raise_a_suilen,Hey-day狂騒曲(カプリチオ),0.6766,https://youtu.be/dQuVrNLZOFM
R03,method2,2,537,raise_a_suilen,FIVE as ONE,0.6174,https://youtu.be/rRo4HYj654A
R03,method2,3,513,raise_a_suilen,Repaint,0.6482,https://youtu.be/eJp3_buirj4
R04,method1,1,260,mygo,迷星叫,0.1832,https://youtu.be/V6gq-6dAbHA
R04,method1,2,265,mygo,潜在表明,0.2114,https://youtu.be/ljBKERoFUZQ
R04,method1,3,271,mygo,名無声,0.2169,https://youtu.be/DEyXwtinmfs
R04,method2,1,260,mygo,迷星叫,0.1832,https://youtu.be/V6gq-6dAbHA
R04,method2,2,268,mygo,詩超絆,0.1207,https://youtu.be/OenakjvUs24
R04,method2,3,660,mygo,素寄曲,0.1685,https://youtu.be/uZSAArx6jKM
R05,method1,1,90,ave_mujica,The Whole Blue World,0.1725,https://youtu.be/lkS9XIzWObc
R05,method1,2,88,ave_mujica,Symbol IV : Earth,0.2259,https://youtu.be/WqQPM0dZpXc
R05,method1,3,92,ave_mujica,素晴らしき世界 でも どこにもない場所,0.1806,https://youtu.be/MyI6sKuV4kY
R05,method2,1,90,ave_mujica,The Whole Blue World,0.1725,https://youtu.be/lkS9XIzWObc
R05,method2,2,97,ave_mujica,碧い瞳の中に,0.0312,https://youtu.be/bLOb7kC9Jns
R05,method2,3,75,ave_mujica,Crucifix X,0.2994,https://youtu.be/XP8al1l38Po
R06,method1,1,123,hello_happy_world,Happy! Happier! Happiest!,0.6933,https://youtu.be/xpECEzVaWH8
R06,method1,2,130,hello_happy_world,ハッピーサマーウェディング,0.718,https://youtu.be/SQrYhJ6x7kE
R06,method1,3,128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,0.7067,https://youtu.be/wPDP9eT2-Cs
R06,method2,1,123,hello_happy_world,Happy! Happier! Happiest!,0.6933,https://youtu.be/xpECEzVaWH8
R06,method2,2,121,hello_happy_world,はれやか すこやか ぴかりんりん♪,0.6775,https://youtu.be/hstT4_F2Hqg
R06,method2,3,118,hello_happy_world,せかいのっびのびトレジャー！,0.6344,https://youtu.be/t-YRHYvIqEE
R07,method1,1,208,morfonica,esora no clover,0.1573,https://youtu.be/fGgKN9_egCM
R07,method1,2,638,roselia,悪魔の子 (Cover),0.1238,https://youtu.be/kHdgtPHuya8
R07,method1,3,592,roselia,Sage der Rosen,0.2131,https://youtu.be/z0jU3sNiA44
R07,method2,1,90,ave_mujica,The Whole Blue World,0.1725,https://youtu.be/lkS9XIzWObc
R07,method2,2,638,roselia,悪魔の子 (Cover),0.1238,https://youtu.be/kHdgtPHuya8
R07,method2,3,88,ave_mujica,Symbol IV : Earth,0.2259,https://youtu.be/WqQPM0dZpXc
R08,method1,1,433,poppin_party,花咲く未来に,0.6855,https://youtu.be/rTVN1M1DNx8
R08,method1,2,128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,0.7067,https://youtu.be/wPDP9eT2-Cs
R08,method1,3,390,poppin_party,CiRCLING,0.6387,https://youtu.be/Zj4qzqS--UY
R08,method2,1,332,pastel_palettes,SAKURAスキップ,0.7754,https://youtu.be/DxUyKQwPeWU
R08,method2,2,459,poppin_party,勇気Limit！,0.7094,https://youtu.be/HNpDj7g9Fd0
R08,method2,3,440,poppin_party,Future Place,0.6566,https://youtu.be/JonvwJvZFv4
R09,method1,1,104,various_artists,"Here, the world",0.5668,https://youtu.be/LuwRRghPD1A
R09,method1,2,388,poppin_party,クリスマスのうた,0.6026,https://youtu.be/EMwYk4qPK1k
R09,method1,3,376,poppin_party,STAR BEAT!～ホシノコドウ～,0.5375,https://youtu.be/RtKwXh18gkc
R09,method2,1,104,various_artists,"Here, the world",0.5668,https://youtu.be/LuwRRghPD1A
R09,method2,2,13,afterglow,いつも通りのBrand new days,0.5785,https://youtu.be/Ku2GV2VkQcA
R09,method2,3,55,afterglow,GO!!! (Cover),0.5977,https://youtu.be/FDflFAr27rE
R10,method1,1,208,morfonica,esora no clover,0.1573,https://youtu.be/fGgKN9_egCM
R10,method1,2,638,roselia,悪魔の子 (Cover),0.1238,https://youtu.be/kHdgtPHuya8
R10,method1,3,97,ave_mujica,碧い瞳の中に,0.0312,https://youtu.be/bLOb7kC9Jns
R10,method2,1,638,roselia,悪魔の子 (Cover),0.1238,https://youtu.be/kHdgtPHuya8
R10,method2,2,97,ave_mujica,碧い瞳の中に,0.0312,https://youtu.be/bLOb7kC9Jns
R10,method2,3,568,raise_a_suilen,DEPARTURES (Cover),0.151,https://youtu.be/TLq1MbV686M
R11,method1,1,384,poppin_party,ティアドロップス ～Popipa Acoustic Ver.～,0.1708,https://youtu.be/Eq0Mo7Ca02I
R11,method1,2,405,poppin_party,Returns,0.1451,https://youtu.be/zWKV5yudE18
R11,method1,3,92,ave_mujica,素晴らしき世界 でも どこにもない場所,0.1806,https://youtu.be/MyI6sKuV4kY
R11,method2,1,88,ave_mujica,Symbol IV : Earth,0.2259,https://youtu.be/WqQPM0dZpXc
R11,method2,2,381,poppin_party,私の心はチョココロネ,0.2777,https://youtu.be/ZnaBCQTeHYI
R11,method2,3,441,poppin_party,大好き！,0.2619,https://youtu.be/NW5DnKrpr8M
R12,method1,1,573,roselia,陽だまりロードナイト,0.346,https://youtu.be/KjgjeK-ppd0
R12,method1,2,420,poppin_party,SAKURA MEMORIES,0.4111,https://youtu.be/lQF_5FOrl7k
R12,method1,3,300,mygo,春日影,0.4341,https://youtu.be/wRwQUk0Dl30
R12,method2,1,573,roselia,陽だまりロードナイト,0.346,https://youtu.be/KjgjeK-ppd0
R12,method2,2,420,poppin_party,SAKURA MEMORIES,0.4111,https://youtu.be/lQF_5FOrl7k
R12,method2,3,106,hello_happy_world,キミがいなくちゃっ！,0.4457,https://youtu.be/9itZp8utiAw
R13,method1,1,388,poppin_party,クリスマスのうた,0.6026,https://youtu.be/EMwYk4qPK1k
R13,method1,2,376,poppin_party,STAR BEAT!～ホシノコドウ～,0.5375,https://youtu.be/RtKwXh18gkc
R13,method1,3,21,afterglow,極彩色,0.542,https://youtu.be/YvpL2A3FZk4
R13,method2,1,55,afterglow,GO!!! (Cover),0.5977,https://youtu.be/FDflFAr27rE
R13,method2,2,484,poppin_party,ディスカバリー！ (Cover),0.5387,https://youtu.be/EHmHYlveZTI
R13,method2,3,120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,0.5743,https://youtu.be/Ibs-CJd-qws
R14,method1,1,568,raise_a_suilen,DEPARTURES (Cover),0.151,https://youtu.be/TLq1MbV686M
R14,method1,2,403,poppin_party,White Afternoon,0.1461,https://youtu.be/Q7Y-vskuNVQ
R14,method1,3,64,afterglow,COLORS (Cover),0.1444,https://youtu.be/nUw5V5zupYQ
R14,method2,1,568,raise_a_suilen,DEPARTURES (Cover),0.151,https://youtu.be/TLq1MbV686M
R14,method2,2,442,poppin_party,Five Letters,0.0915,https://youtu.be/-rDKKJcyyTU
R14,method2,3,403,poppin_party,White Afternoon,0.1461,https://youtu.be/Q7Y-vskuNVQ
R15,method1,1,657,roselia,My Dearest (Cover),0.23,https://youtu.be/PeeD7-Mek8k
R15,method1,2,660,mygo,素寄曲,0.1685,https://youtu.be/uZSAArx6jKM
R15,method1,3,333,pastel_palettes,Stay Alive,0.2524,https://youtu.be/cC9iaoSJLqw
R15,method2,1,12,afterglow,Off we go.,0.1916,https://youtu.be/bg2UuSTbyqk
R15,method2,2,451,poppin_party,どきどきSING OUT!,0.2447,https://youtu.be/Y-tnOBf-byo
R15,method2,3,595,roselia,Original Call,0.2459,https://youtu.be/Rfw6OoJj3Cw
R16,method1,1,343,pastel_palettes,ホワイト ノスタルジア,0.1372,https://youtu.be/oN98BBBIOnw
R16,method1,2,416,poppin_party,Light Delight,0.1198,https://youtu.be/ycVVqPjxPqk
R16,method1,3,93,ave_mujica,Angles,0.0222,https://youtu.be/au2A3wyiLIo
R16,method2,1,442,poppin_party,Five Letters,0.0915,https://youtu.be/-rDKKJcyyTU
R16,method2,2,603,roselia,鳥の詩,0.1695,https://youtu.be/Y5CTSrakFlY
R16,method2,3,93,ave_mujica,Angles,0.0222,https://youtu.be/au2A3wyiLIo
R17,method1,1,104,various_artists,"Here, the world",0.5668,https://youtu.be/LuwRRghPD1A
R17,method1,2,388,poppin_party,クリスマスのうた,0.6026,https://youtu.be/EMwYk4qPK1k
R17,method1,3,376,poppin_party,STAR BEAT!～ホシノコドウ～,0.5375,https://youtu.be/RtKwXh18gkc
R17,method2,1,418,poppin_party,Home Street,0.5306,https://youtu.be/_n8qGOBD0J8
R17,method2,2,104,various_artists,"Here, the world",0.5668,https://youtu.be/LuwRRghPD1A
R17,method2,3,161,hello_happy_world,ドレミファロンド (Cover),0.5246,https://youtu.be/IjlX1R75PRw
R18,method1,1,208,morfonica,esora no clover,0.1573,https://youtu.be/fGgKN9_egCM
R18,method1,2,91,ave_mujica,in your blue eyes,0.0229,https://youtu.be/kVMuEQ3uXWc
R18,method1,3,638,roselia,悪魔の子 (Cover),0.1238,https://youtu.be/kHdgtPHuya8
R18,method2,1,568,raise_a_suilen,DEPARTURES (Cover),0.151,https://youtu.be/TLq1MbV686M
R18,method2,2,403,poppin_party,White Afternoon,0.1461,https://youtu.be/Q7Y-vskuNVQ
R18,method2,3,415,poppin_party,キミにもらったもの,0.0415,https://youtu.be/gu85qKfXfj8
R19,method1,1,568,raise_a_suilen,DEPARTURES (Cover),0.151,https://youtu.be/TLq1MbV686M
R19,method1,2,505,raise_a_suilen,EXIST,0.3183,https://youtu.be/Vo3lvsrP9mY
R19,method1,3,545,raise_a_suilen,Embrace of light,0.1616,https://youtu.be/7LN3sI8JE5E
R19,method2,1,512,raise_a_suilen,灼熱 Bonfire!,0.6092,https://youtu.be/Uh2MjQ9Q324
R19,method2,2,524,raise_a_suilen,ゴーカ！ごーかい！？ファントムシーフ！,0.626,https://youtu.be/sooblFkVWdo
R19,method2,3,504,raise_a_suilen,Ray of hope,0.54,https://youtu.be/bjHImc6cTqE
R20,method1,1,430,poppin_party,新しい季節に,0.2941,https://youtu.be/bqKoweXOY1I
R20,method1,2,387,poppin_party,八月のif,0.21,https://youtu.be/y_wsqM33BaY
R20,method1,3,187,morfonica,The Circle Of Butterflies,0.298,https://youtu.be/eMR-LxXyCKs
R20,method2,1,408,poppin_party,ミライトレイン,0.3048,https://youtu.be/amlyxSdWmTg
R20,method2,2,149,hello_happy_world,Listen to Smile!,0.2834,https://youtu.be/5Bz8TBMardI
R20,method2,3,618,roselia,Talk to My Tone,0.3031,https://youtu.be/ZtHU3JLdNoU
R21,method1,1,271,mygo,名無声,0.2169,https://youtu.be/DEyXwtinmfs
R21,method1,2,384,poppin_party,ティアドロップス ～Popipa Acoustic Ver.～,0.1708,https://youtu.be/Eq0Mo7Ca02I
R21,method1,3,407,poppin_party,キズナミュージック♪,0.1783,https://youtu.be/rvKC_BDWo0o
R21,method2,1,88,ave_mujica,Symbol IV : Earth,0.2259,https://youtu.be/WqQPM0dZpXc
R21,method2,2,92,ave_mujica,素晴らしき世界 でも どこにもない場所,0.1806,https://youtu.be/MyI6sKuV4kY
R21,method2,3,628,roselia,Singing “OURS”,0.2022,https://youtu.be/rGkei9v-jz4
R22,method1,1,403,poppin_party,White Afternoon,0.1461,https://youtu.be/Q7Y-vskuNVQ
R22,method1,2,242,mugendai_mutype,グラディエント,0.1582,https://youtu.be/QMcU8T8wOd4
R22,method1,3,603,roselia,鳥の詩,0.1695,https://youtu.be/Y5CTSrakFlY
R22,method2,1,260,mygo,迷星叫,0.1832,https://youtu.be/V6gq-6dAbHA
R22,method2,2,442,poppin_party,Five Letters,0.0915,https://youtu.be/-rDKKJcyyTU
R22,method2,3,568,raise_a_suilen,DEPARTURES (Cover),0.151,https://youtu.be/TLq1MbV686M
R23,method1,1,196,morfonica,Sonorous,0.1205,https://youtu.be/Wl5LZ3iJNzM
R23,method1,2,343,pastel_palettes,ホワイト ノスタルジア,0.1372,https://youtu.be/oN98BBBIOnw
R23,method1,3,242,mugendai_mutype,グラディエント,0.1582,https://youtu.be/QMcU8T8wOd4
R23,method2,1,260,mygo,迷星叫,0.1832,https://youtu.be/V6gq-6dAbHA
R23,method2,2,403,poppin_party,White Afternoon,0.1461,https://youtu.be/Q7Y-vskuNVQ
R23,method2,3,196,morfonica,Sonorous,0.1205,https://youtu.be/Wl5LZ3iJNzM
R24,method1,1,593,roselia,覚悟のLiberation,0.6239,https://youtu.be/ncY1KiGbQk8
R24,method1,2,492,raise_a_suilen,SOUL SOLDIER,0.524,https://youtu.be/vHZF9D4gAoQ
R24,method1,3,626,roselia,Ringing Bloom,0.5619,https://youtu.be/h4cEEXCPO8M
R24,method2,1,475,poppin_party,ミュージック・アワー (Cover),0.5959,https://youtu.be/dwYnaJHhnmw
R24,method2,2,83,ave_mujica,Mas?uerade Rhapsody Re?uest,0.6075,https://youtu.be/VLxM8q6PF4I
R24,method2,3,486,poppin_party,ヴァンパイア (Cover),0.5461,https://youtu.be/I_TIPc02Ros
